,clust1,Tenure_in_Months,Avg_Monthly_Long_Distance_Charges,Avg_Monthly_GB_Download,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue
0,2,0.0,0.0,0.09411764705882353,0.21,0.0024232633279483036,0.0,0.13333333333333333,0.0,0.003177788927914367
1,2,0.09859154929577464,0.9795918367346939,0.2,0.62,0.07096699746134318,0.0,0.0,0.10942760942760943,0.08387690249205552
2,2,0.23943661971830985,0.22448979591836735,0.611764705882353,0.77,0.20009231479344564,0.9183673469387755,0.0,0.05695847362514029,0.15796956012711155
3,2,0.3380281690140845,0.3877551020408163,0.1411764705882353,0.8,0.28802215555042693,0.2653061224489796,0.0,0.13860830527497195,0.24870379662150863
4,2,0.5070422535211268,0.12244897959183673,0.16470588235294117,0.58,0.32887145165012693,0.0,0.0,0.06565656565656566,0.25765178123432014
5,2,0.36619718309859156,0.061224489795918366,0.21176470588235294,0.6,0.24428802215555043,0.0,0.06666666666666667,0.024971941638608306,0.1851480180632213
6,2,0.0,0.30612244897959184,0.35294117647058826,0.52,0.006000461573967228,0.0,0.0,0.004208754208754209,0.005352065562803144
7,2,0.8028169014084507,0.0,0.2823529411764706,0.27,0.30383106392799447,0.8163265306122449,0.0,0.0,0.21650777722027095
8,2,0.19718309859154928,0.8979591836734694,0.2235294117647059,0.56,0.13004846526655897,0.0,0.0,0.18546576879910212,0.14927245358755645
9,2,0.08450704225352113,0.5306122448979592,0.21176470588235294,0.58,0.05596584352642511,0.22448979591836735,0.0,0.052749719416386086,0.05519317611640743
10,2,0.14084507042253522,0.22448979591836735,0.3411764705882353,0.77,0.12716362797138242,0.0,0.8,0.0356341189674523,0.11256062886770363
11,2,0.19718309859154928,0.5918367346938775,0.3411764705882353,0.56,0.12185552734825755,0.0,0.0,0.122334455667789,0.1245191503595919
12,2,0.0,0.0,0.1411764705882353,0.22,0.002538656819755366,0.0,0.0,0.0,0.0015888944639571834
13,2,0.028169014084507043,0.0,0.32941176470588235,0.23,0.013154858066005077,0.0,0.0,0.0,0.009282488710486703
14,2,0.16901408450704225,0.6530612244897959,0.12941176470588237,0.88,0.15531963997230555,0.0,0.06666666666666667,0.11896745230078563,0.14868707141662485
15,2,0.2112676056338028,0.1836734693877551,0.10588235294117647,0.76,0.17228248326794368,0.0,0.0,0.04208754208754209,0.13723030607124936
16,2,0.09859154929577464,0.02040816326530612,0.08235294117647059,0.56,0.06785137318255251,0.0,0.0,0.003928170594837262,0.05009198862686068
17,2,0.323943661971831,0.6122448979591837,0.17647058823529413,0.58,0.19547657512116318,0.0,0.0,0.20763187429854096,0.20337849138651948
18,2,0.04225352112676056,0.6326530612244898,0.023529411764705882,0.77,0.04361873990306947,0.0,0.0,0.03535353535353535,0.04189663823381837
19,2,0.43661971830985913,0.9591836734693877,0.11764705882352941,0.56,0.2636741287791369,0.0,0.0,0.42480359147025815,0.3175280147181803
20,2,0.323943661971831,0.32653061224489793,0.1411764705882353,0.75,0.25536579736902837,0.0,0.0,0.10830527497194165,0.21709315939120255
21,1,0.7464788732394366,0.24489795918367346,0.058823529411764705,0.64,0.49988460650819294,0.0,0.0,0.1829405162738496,0.4165412276300385
22,2,0.014084507042253521,0.2653061224489796,0.11764705882352941,0.52,0.013962612508654512,0.0,0.0,0.007295173961840628,0.012042147516307075
23,2,0.28169014084507044,0.0,0.09411764705882353,0.23,0.09485345026540504,0.0,0.0,0.0,0.06848971399899649
24,2,0.36619718309859156,0.0,0.15294117647058825,0.12,0.09081467805215786,0.0,0.9333333333333333,0.0,0.0772704465629704
25,2,0.14084507042253522,0.5918367346938775,0.0,0.01,0.022617124394184167,0.0,0.0,0.09090909090909091,0.04331828064893795
26,1,0.7605633802816901,0.8571428571428571,0.3176470588235294,0.67,0.5603507962150934,0.0,0.6,0.6607744107744108,0.6103027262083961
27,2,0.028169014084507043,0.1836734693877551,0.16470588235294117,0.63,0.02480960073851835,0.0,0.0,0.007575757575757576,0.02007024586051179
28,2,0.0,0.7142857142857143,0.2,0.57,0.006577429033002538,0.0,0.13333333333333333,0.009820426487093154,0.009115236661649106
29,2,0.056338028169014086,0.0,0.3058823529411765,0.1,0.013039464574198014,0.0,0.0,0.0,0.009198862686067904
30,2,0.2676056338028169,0.9795918367346939,0.1411764705882353,0.76,0.2035541195476575,0.0,0.5333333333333333,0.2732884399551066,0.23549088476333835
31,2,0.056338028169014086,0.9183673469387755,0.25882352941176473,0.56,0.036464343411031615,0.0,0.0,0.06397306397306397,0.04532530523498913
32,2,0.36619718309859156,0.14285714285714285,0.29411764705882354,0.57,0.22051696284329564,0.0,0.0,0.05303030303030303,0.17536377320622176
33,2,0.04225352112676056,0.9795918367346939,0.2823529411764706,0.71,0.03784906531271636,0.0,0.0,0.05415263748597082,0.04331828064893795
34,2,0.0,0.9183673469387755,0.24705882352941178,0.67,0.007731363951073159,0.0,0.0,0.012626262626262626,0.009198862686067904
35,1,0.9014084507042254,0.3673469387755102,0.32941176470588235,0.87,0.7809831525501961,0.0,0.0,0.33529741863075196,0.6656631543736411
36,1,0.676056338028169,0.4489795918367347,0.16470588235294117,0.72,0.5226171243941842,0.0,0.0,0.31509539842873174,0.4724034119417963
37,1,0.5915492957746479,0.2857142857142857,0.058823529411764705,0.92,0.5387722132471728,0.0,0.0,0.1750841750841751,0.4424652951998662
38,1,0.7746478873239436,0.9795918367346939,0.1411764705882353,0.86,0.6665128086775906,0.0,0.0,0.7665544332210998,0.7113229637063054
39,2,0.2676056338028169,0.10204081632653061,0.11764705882352941,0.76,0.21705515808908377,0.0,0.0,0.02974186307519641,0.16591403244689748
40,2,0.014084507042253521,0.9591836734693877,0.2235294117647059,0.71,0.016501269328409878,0.0,0.0,0.026374859708193043,0.019652115738417797
41,2,0.09859154929577464,0.5510204081632653,0.0,0.01,0.016847449803831065,0.0,0.0,0.06257014590347924,0.030607124937280482
42,2,0.7183098591549296,0.0,0.21176470588235294,0.31,0.2921763212554812,0.0,0.2,0.0,0.21399899648770698
43,2,0.014084507042253521,0.8775510204081632,0.3176470588235294,0.31,0.008423724901915532,0.0,0.0,0.02441077441077441,0.013212911858170263
44,1,0.4507042253521127,0.5510204081632653,0.09411764705882353,0.76,0.3562197092084006,0.0,0.0,0.2570145903479237,0.3345877236996153
45,2,0.4084507042253521,0.9183673469387755,0.2235294117647059,0.73,0.3161781675513501,0.0,0.0,0.38608305274971944,0.3439538384345208
46,2,0.2676056338028169,0.8979591836734694,0.15294117647058825,0.8,0.21047772905608123,0.0,0.8,0.24915824915824916,0.23666164910520154
47,1,0.6338028169014085,0.04081632653061224,0.23529411764705882,0.92,0.5603507962150934,0.0,0.0,0.03058361391694725,0.41495233316608127
48,2,0.08450704225352113,0.42857142857142855,0.12941176470588237,0.77,0.07223632587122086,0.0,0.0,0.04292929292929293,0.06489379494898813
49,2,0.04225352112676056,0.7346938775510204,0.21176470588235294,0.6,0.03161781675513501,0.0,0.0,0.041245791245791245,0.03503930423147684
50,1,0.7605633802816901,0.7551020408163265,0.08235294117647059,0.82,0.6336256635125779,0.0,0.6666666666666666,0.5765993265993266,0.6392373306573006
51,2,0.2676056338028169,0.10204081632653061,0.2823529411764706,0.55,0.1667435956612047,0.0,0.0,0.030022446689113354,0.12953671182471985
52,2,0.11267605633802817,0.9795918367346939,0.17647058823529413,0.82,0.10385414262635588,0.0,0.0,0.12289562289562289,0.11164074259909684
53,2,0.1267605633802817,0.10204081632653061,0.2823529411764706,0.54,0.0773136395107316,0.0,0.2,0.015151515151515152,0.06288677036293695
54,2,0.0,0.7346938775510204,0.07058823529411765,0.55,0.006346642049388415,0.0,0.0,0.010101010101010102,0.007442716173273123
55,2,0.028169014084507043,0.8367346938775511,0.12941176470588237,0.61,0.02157858296792061,0.0,0.0,0.035072951739618406,0.025840441545408932
56,2,0.04225352112676056,0.12244897959183673,0.2,0.66,0.03946457419801523,0.0,0.0,0.007295173961840628,0.03052349891286168
57,2,0.4788732394366197,0.40816326530612246,0.2235294117647059,0.81,0.38968382183244865,0.0,0.8,0.20454545454545456,0.3531527011205887
58,2,0.014084507042253521,0.5306122448979592,0.12941176470588237,0.26,0.007731363951073159,0.0,0.0,0.014870931537598204,0.009784244856999498
59,2,0.09859154929577464,0.22448979591836735,0.3176470588235294,0.82,0.09393030233094854,0.0,0.0,0.025813692480359147,0.07551430005017562
60,2,0.6056338028169014,0.0,0.32941176470588235,0.12,0.15474267251327026,0.0,0.0,0.0,0.11189162067235324
61,1,0.8591549295774648,0.14285714285714285,0.18823529411764706,0.85,0.7344795753519502,0.0,0.0,0.12345679012345678,0.5689078441210905
62,2,0.4507042253521127,0.673469387755102,0.17647058823529413,0.62,0.30440803138702976,0.0,0.0,0.30723905723905726,0.31192507108212075
63,2,0.04225352112676056,1.0,0.27058823529411763,0.76,0.046849757673667204,0.0,0.0,0.05555555555555555,0.05025924067569828
64,2,0.36619718309859156,0.20408163265306123,0.27058823529411763,0.57,0.21636279713824141,0.0,0.0,0.08024691358024691,0.1805485867201873
65,2,0.09859154929577464,0.8163265306122449,0.3411764705882353,0.82,0.09243018693745672,0.0,0.0,0.09062850729517397,0.09382839939789263
66,2,0.028169014084507043,0.5102040816326531,0.023529411764705882,0.7,0.029425340410800832,0.0,0.0,0.021604938271604937,0.027596588058203714
67,2,0.09859154929577464,0.8571428571428571,0.10588235294117647,0.74,0.08204477267482115,0.0,0.0,0.09624017957351291,0.08797457768857668
68,2,0.18309859154929578,0.22448979591836735,0.2823529411764706,0.72,0.14401107777521346,0.0,0.0,0.044332210998877665,0.11732731225957518
69,2,0.15492957746478872,0.0,0.11764705882352941,0.25,0.05861989383798754,0.0,0.0,0.0,0.04223114233149356
70,2,0.16901408450704225,0.8163265306122449,0.24705882352941178,0.56,0.10639279944611124,0.0,0.0,0.14702581369248036,0.12075597926074594
71,2,0.14084507042253522,0.061224489795918366,0.3176470588235294,0.71,0.11873990306946688,0.0,0.0,0.012065095398428732,0.08947984612811508
72,2,0.22535211267605634,0.5714285714285714,0.18823529411764706,0.82,0.1850911608585276,0.0,0.0,0.13439955106621773,0.17394213079110218
73,1,0.5352112676056338,0.673469387755102,0.3058823529411765,0.87,0.49226863604892684,0.0,0.0,0.36363636363636365,0.46496069576852317
74,2,0.14084507042253522,0.3469387755102041,0.3176470588235294,0.86,0.1286637433648742,0.0,0.0,0.05303030303030303,0.10888108379327646
75,2,0.028169014084507043,0.061224489795918366,0.10588235294117647,0.62,0.02377105931225479,0.0,0.0,0.0025252525252525255,0.017728717176785414
76,2,0.28169014084507044,0.6938775510204082,0.16470588235294117,0.42,0.14054927302100162,0.0,0.0,0.20398428731762064,0.16240173942130792
