,clust1,Assault,UrbanPop,Rape
0,0,0.6541095890410958,0.4406779661016949,0.359173126614987
1,0,0.7465753424657534,0.2711864406779661,0.9612403100775194
2,0,0.8527397260273972,0.8135593220338984,0.6124031007751938
3,1,0.4965753424657534,0.3050847457627119,0.31524547803617564
4,0,0.791095890410959,1.0,0.8604651162790699
5,0,0.5445205479452054,0.7796610169491526,0.8113695090439277
6,1,0.2226027397260274,0.7627118644067796,0.09819121447028423
7,1,0.660958904109589,0.6779661016949152,0.21963824289405684
8,0,0.9931506849315068,0.8135593220338984,0.6356589147286821
9,0,0.5684931506849316,0.4745762711864407,0.47803617571059426
10,1,0.003424657534246575,0.864406779661017,0.33333333333333326
11,2,0.2568493150684932,0.3728813559322034,0.17829457364341084
12,0,0.6986301369863014,0.864406779661017,0.43152454780361754
13,1,0.2328767123287671,0.559322033898305,0.3540051679586563
14,2,0.03767123287671233,0.423728813559322,0.10335917312661501
15,1,0.23972602739726026,0.576271186440678,0.27648578811369506
16,1,0.2191780821917808,0.3389830508474576,0.23255813953488372
17,0,0.6986301369863014,0.576271186440678,0.38501291989664077
18,2,0.13013698630136986,0.3220338983050847,0.012919896640826873
19,0,0.8732876712328768,0.5932203389830508,0.5297157622739018
20,1,0.3561643835616438,0.8983050847457628,0.23255813953488372
21,0,0.7191780821917808,0.711864406779661,0.7183462532299741
22,1,0.09246575342465753,0.576271186440678,0.19638242894056848
23,0,0.7328767123287672,0.2033898305084746,0.2532299741602067
24,0,0.4554794520547945,0.6440677966101694,0.5400516795865632
25,2,0.2191780821917808,0.3559322033898305,0.23514211886304903
26,2,0.1952054794520548,0.5084745762711864,0.23772609819121443
27,0,0.708904109589041,0.8305084745762712,1.0
28,2,0.0410958904109589,0.4067796610169492,0.056847545219638244
29,1,0.3904109589041096,0.9661016949152542,0.2971576227390181
30,0,0.821917808219178,0.6440677966101694,0.6408268733850129
31,0,0.7157534246575342,0.9152542372881356,0.4857881136950904
32,0,1.0,0.22033898305084745,0.22739018087855298
33,2,0.0,0.2033898305084746,0.0
34,1,0.2568493150684932,0.7288135593220338,0.36434108527131776
35,1,0.363013698630137,0.6101694915254238,0.3281653746770025
36,1,0.3904109589041096,0.5932203389830508,0.5684754521963824
37,1,0.2089041095890411,0.6779661016949152,0.19638242894056848
38,1,0.4417808219178082,0.9322033898305084,0.02583979328165377
39,0,0.8013698630136986,0.2711864406779661,0.3927648578811369
40,2,0.1404109589041096,0.22033898305084745,0.14211886304909563
41,0,0.4897260273972603,0.4576271186440678,0.5064599483204133
42,0,0.5342465753424658,0.8135593220338984,0.4702842377260981
43,1,0.2568493150684932,0.8135593220338984,0.4031007751937984
44,2,0.010273972602739725,0.0,0.1007751937984496
45,1,0.3801369863013699,0.5254237288135594,0.34625322997416014
46,1,0.3424657534246575,0.6949152542372882,0.48837209302325574
47,2,0.1232876712328767,0.11864406779661017,0.05167958656330751
48,1,0.0273972602739726,0.576271186440678,0.09043927648578813
49,1,0.3972602739726027,0.4745762711864407,0.2144702842377261
