,clust,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll
0,2,0.0,0.0,0.0,0.0,0.0006598782638375334,0.011627906976744186,0.0,0.0,0.8437424644321196
1,2,0.0,0.0,0.0,0.0,0.0008153668202590212,0.023255813953488372,0.0,0.0,0.8398842536773571
2,2,0.0,0.0,0.0,0.0,0.015636080929897416,0.046511627906976744,0.0,0.0,0.8478418133590547
3,2,0.0,0.0,0.0,0.0,0.001896201907579119,0.011627906976744186,0.0,0.0,0.8379551482999759
4,0,0.0,0.75,0.0,0.0,0.16421108519635172,0.3023255813953488,0.0673978648148749,0.07547169811320754,0.8359054738365084
5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8367494574391127
6,2,0.0,0.5,0.0,0.0,0.1042228416481787,0.29069767441860467,0.0,0.0,0.8430190499156016
7,2,0.0,0.0,0.0,0.0,0.01991012002958075,0.046511627906976744,0.008112405490476036,0.018867924528301886,0.8362671810947673
8,0,0.0,0.5,0.5,0.0,0.006648083887972391,0.5,0.12493104455333096,0.22641509433962265,0.8374728719556306
9,2,0.0,0.5,0.0,0.0,0.10780287084968808,0.32558139534883723,0.03731706525618977,0.05660377358490566,0.835423197492163
10,2,0.0,0.25,0.0,0.0,0.027601114966721657,0.11627906976744186,0.0,0.0,0.8387991319025802
11,0,0.0,1.0,0.0,0.0,0.23173483512524415,0.22093023255813954,0.0,0.0,0.8345792138895587
12,2,0.0,0.25,0.0,0.0,0.04228530253901435,0.23255813953488372,0.0,0.0,0.8345792138895587
13,2,0.0,0.0,0.0,0.0,0.01235565162978554,0.06976744186046512,0.0,0.0,0.8338557993730408
14,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8331323848565227
15,0,0.0,0.75,0.0,0.0,0.18750402942905361,0.1744186046511628,0.0,0.0,0.8331323848565227
16,0,0.0,0.75,0.0,0.0,0.1856874680015928,0.18604651162790697,0.0,0.0,0.8328912466843501
17,2,0.0,0.0,0.0,0.0,0.016273204770844,0.05813953488372093,0.0,0.0,0.8322884012539185
18,2,0.0,0.5,0.0,0.0,0.10394220376585699,0.19767441860465115,0.0,0.0,0.8320472630817458
19,2,0.0,0.5,0.0,0.0,0.03961924265695811,0.05813953488372093,0.0,0.0,0.8312032794791415
